review_id,user_id,dish_id,dish_name,restaurant,review_text,rating,date
1,U001,D001,宫保鸡丁,川味轩,鸡肉很嫩花生很脆麻辣味刚好超级下饭,5,2026-01-10
2,U001,D002,水煮鱼,川味轩,麻辣鲜香鱼肉嫩滑太爽了每次来都点,5,2026-01-15
3,U001,D003,红烧肉,外婆家,肥而不腻甜甜的入口即化非常软糯,4,2026-01-20
4,U001,D004,清炒时蔬,素味坊,清淡爽口很健康不过有点太油了,3,2026-02-01
5,U002,D001,宫保鸡丁,川味轩,太辣了受不了花椒味太重不会再点,2,2026-01-12
6,U002,D003,红烧肉,外婆家,甜甜的很好吃肥肉也不会腻很下饭,5,2026-01-18
7,U002,D004,清炒时蔬,素味坊,清爽可口不油腻刚刚好很健康,5,2026-02-05
8,U002,D005,糖醋排骨,外婆家,酸酸甜甜的排骨很酥脆超级好吃,5,2026-02-10
9,U003,D001,宫保鸡丁,川味轩,麻辣味刚好鸡肉很嫩分量很足,4,2026-01-22
10,U003,D002,水煮鱼,川味轩,鱼肉很新鲜麻辣味很香不过油太多了,3,2026-01-28
11,U003,D003,红烧肉,外婆家,有点腻甜味太重了不太喜欢这种口感,2,2026-02-02
12,U003,D004,清炒时蔬,素味坊,很清爽健康不油腻非常适合日常吃,5,2026-02-08
13,U003,D005,糖醋排骨,外婆家,酸甜适中酥脆可口不过稍微有点油,4,2026-02-12
14,U001,D005,糖醋排骨,外婆家,酸甜可口外酥里嫩很开胃每次必点,5,2026-02-15
15,U002,D002,水煮鱼,川味轩,太辣了吃得满头汗不过鱼肉确实嫩,3,2026-02-18
16,U001,D006,麻婆豆腐,川味轩,麻辣嫩滑非常入味拌饭吃超香,5,2026-02-20
17,U002,D006,麻婆豆腐,川味轩,辣得受不了太麻了不是我的菜,2,2026-02-22
18,U003,D006,麻婆豆腐,川味轩,麻辣适中豆腐很嫩口感不错不过有点油,4,2026-02-25
19,U001,D007,清蒸鲈鱼,渔港,鲜嫩清香不腥不腻原汁原味很健康,5,2026-03-01
20,U003,D007,清蒸鲈鱼,渔港,清淡鲜美鱼肉很嫩非常新鲜健康好吃,5,2026-03-05
